task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
1	89/1e0260	237964	clone	CACHED	0	2023-02-07 13:59:13.447	11.8s	2s	17.7%	7.8 MB	408.9 MB	3.6 MB	26.3 KB
2	0c/f854eb	4610121.pbsha.ib.sockeye	list_commits	COMPLETED	0	2023-02-07 21:10:50.690	19.4s	251ms	0.0%	1.6 MB	110.8 MB	2.9 MB	3.1 MB
15	e9/d291ec	4610134.pbsha.ib.sockeye	benchmark (13)	FAILED	1	2023-02-07 21:11:11.357	53.8s	27.8s	100.0%	134.8 MB	659.3 MB	1.8 GB	3 GB
9	42/63ed87	4610136.pbsha.ib.sockeye	benchmark (7)	FAILED	1	2023-02-07 21:11:11.543	53.6s	27.9s	108.6%	6.6 MB	233.2 MB	1.8 GB	2.9 GB
21	e5/d9af9a	4610151.pbsha.ib.sockeye	benchmark (19)	FAILED	1	2023-02-07 21:11:15.515	49.7s	27.9s	97.2%	99.7 MB	549.6 MB	1.8 GB	3 GB
50	20/141a25	4610167.pbsha.ib.sockeye	benchmark (48)	FAILED	1	2023-02-07 21:11:17.229	53.7s	27.1s	96.8%	194.9 MB	677.3 MB	1.8 GB	3 GB
60	57/1d56a7	4610183.pbsha.ib.sockeye	benchmark (58)	FAILED	1	2023-02-07 21:11:18.794	52.1s	29.3s	91.9%	6.6 MB	233.2 MB	1.8 GB	3 GB
64	43/4f9c5c	4610193.pbsha.ib.sockeye	benchmark (62)	FAILED	1	2023-02-07 21:11:19.663	51.2s	27.3s	101.5%	6.6 MB	233.2 MB	1.8 GB	3 GB
68	e4/3e39eb	4610194.pbsha.ib.sockeye	benchmark (66)	FAILED	1	2023-02-07 21:11:19.751	51.1s	24.5s	99.8%	259.5 MB	916.2 MB	1.8 GB	3 GB
97	2e/84bfc3	4610214.pbsha.ib.sockeye	benchmark (95)	FAILED	1	2023-02-07 21:11:21.531	49.4s	26.9s	97.9%	6.7 MB	233.2 MB	1.8 GB	3.1 GB
98	80/bf492c	4610219.pbsha.ib.sockeye	benchmark (96)	FAILED	1	2023-02-07 21:11:21.999	48.9s	25.4s	94.7%	211.7 MB	681.5 MB	1.8 GB	3.1 GB
95	34/278278	4610220.pbsha.ib.sockeye	benchmark (93)	FAILED	1	2023-02-07 21:11:22.079	48.8s	26.2s	109.6%	177.6 MB	673.4 MB	1.8 GB	3.1 GB
52	ae/248f36	4610174.pbsha.ib.sockeye	benchmark (50)	FAILED	1	2023-02-07 21:11:17.911	57.2s	32.8s	87.2%	226.8 MB	746.3 MB	1.8 GB	3 GB
61	68/e61ad2	4610187.pbsha.ib.sockeye	benchmark (59)	FAILED	1	2023-02-07 21:11:19.149	56s	33.4s	104.0%	6.6 MB	233.2 MB	1.8 GB	2.9 GB
